source_market,source_record_index,source_identifier,stock_code,instrument_name,raw_security_type,normalized_security_type,included_in_stock_service,exclusion_reason,duplicate_group,listing_date_raw,listing_date_normalized,validation_result
KOSDAQ,1592,KR7472220003,472220,신영스팩10호,주권,SPAC,FALSE,EXCLUDE_SPAC,,20240206,2024-02-06,VALID
KOSDAQ,1593,KR70091W0006,0091W0,신영스팩11호,주권,SPAC,FALSE,EXCLUDE_SPAC,,20251124,2025-11-24,VALID
KOSDAQ,1594,KR7017000001,017000,신원종합개발,주권,COMMON,TRUE,,,19941207,1994-12-07,VALID
KOSDAQ,1595,KR7012790002,012790,신일제약,주권,COMMON,TRUE,,,19990813,1999-08-13,VALID
KOSDAQ,1596,KR7138070008,138070,신진에스엠,주권,COMMON,TRUE,,,20111128,2011-11-28,VALID
KOSDAQ,1597,KR7226330009,226330,신테카바이오,주권,COMMON,TRUE,,,20191217,2019-12-17,VALID
KOSDAQ,1598,KR7474660008,474660,신한제12호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20240415,2024-04-15,VALID
KOSDAQ,1599,KR7474930005,474930,신한제13호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20240422,2024-04-22,VALID
KOSDAQ,1600,KR7487360000,487360,신한제14호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20241223,2024-12-23,VALID
KOSDAQ,1601,KR7487830002,487830,신한제15호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20241115,2024-11-15,VALID
KOSDAQ,1602,KR7496070004,496070,신한제16호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20250529,2025-05-29,VALID
KOSDAQ,1603,KR70130D0002,0130D0,신한제17호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20260401,2026-04-01,VALID
KOSDAQ,1604,KR70129K0006,0129K0,신한제18호스팩,주권,SPAC,FALSE,EXCLUDE_SPAC,,20260430,2026-04-30,VALID
KOSDAQ,1605,KR7056700008,056700,신화인터텍,주권,COMMON,TRUE,,,20011213,2001-12-13,VALID
KOSDAQ,1606,KR7187270004,187270,신화콘텍,주권,COMMON,TRUE,,,20140808,2014-08-08,VALID
KOSDAQ,1607,KR7095190005,095190,신화프리텍,주권,COMMON,TRUE,,,20071029,2007-10-29,VALID
KOSDAQ,1608,KR7243840006,243840,신흥에스이씨,주권,COMMON,TRUE,,,20170927,2017-09-27,VALID
KOSDAQ,1609,KR7257720003,257720,실리콘투,주권,COMMON,TRUE,,,20210929,2021-09-29,VALID
KOSDAQ,1610,KR7222800005,222800,심텍,주권,COMMON,TRUE,,,20150807,2015-08-07,VALID
KOSDAQ,1611,KR7036710002,036710,심텍홀딩스,주권,COMMON,TRUE,,,20000104,2000-01-04,VALID
KOSDAQ,1612,KR7444530000,444530,심플랫폼,주권,COMMON,TRUE,,,20250321,2025-03-21,VALID
KOSDAQ,1613,KR7234030005,234030,싸이닉솔루션,주권,COMMON,TRUE,,,20250707,2025-07-07,VALID
KOSDAQ,1614,KR7160980009,160980,싸이맥스,주권,COMMON,TRUE,,,20150617,2015-06-17,VALID
KOSDAQ,1615,KR7356890004,356890,싸이버원,주권,COMMON,TRUE,,,20210311,2021-03-11,VALID
KOSDAQ,1616,KR7217330000,217330,싸이토젠,주권,COMMON,TRUE,,,20181122,2018-11-22,VALID
KOSDAQ,1617,KR7208640003,208640,썸에이지,주권,COMMON,TRUE,,,20141229,2014-12-29,VALID
KOSDAQ,1618,KR7222420002,222420,쎄노텍,주권,COMMON,TRUE,,,20150806,2015-08-06,VALID
KOSDAQ,1619,KR7037760006,037760,쎄니트,주권,COMMON,TRUE,,,20000407,2000-04-07,VALID
KOSDAQ,1620,KR7081180002,081180,쎄크,주권,COMMON,TRUE,,,20250428,2025-04-28,VALID
KOSDAQ,1621,KR7099320004,099320,쎄트렉아이,주권,COMMON,TRUE,,,20080613,2008-06-13,VALID
KOSDAQ,1622,KR7049960008,049960,쎌바이오텍,주권,COMMON,TRUE,,,20021213,2002-12-13,VALID
KOSDAQ,1623,KR7088280003,088280,쏘닉스,주권,COMMON,TRUE,,,20231107,2023-11-07,VALID
KOSDAQ,1624,KR7050890003,050890,쏠리드,주권,COMMON,TRUE,,,20050708,2005-07-08,VALID
KOSDAQ,1625,KR7394800007,394800,쓰리빌리언,주권,COMMON,TRUE,,,20241114,2024-11-14,VALID
KOSDAQ,1626,KR7177900008,177900,쓰리에이로직스,주권,COMMON,TRUE,,,20241224,2024-12-24,VALID
KOSDAQ,1627,KR7475400008,475400,씨메스로보틱스,주권,COMMON,TRUE,,,20241024,2024-10-24,VALID
