stock_code,instrument_name,market_code,listing_date,listing_date_source,listing_status,listing_status_source,delisting_date,delisting_date_source,current_api_present,historical_api_date,evidence_reference,verification_result
263540,어스앤에어로스페이스,KRX_KOSDAQ,2017-09-15,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
151910,SBW생명과학,KRX_KOSDAQ,2012-08-02,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
046140,SBS콘텐츠허브,KRX_KOSDAQ,2003-02-05,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
080000,에스엔유,KRX_KOSDAQ,2005-01-25,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
214310,에스엘바이오닉스,KRX_KOSDAQ,2015-06-25,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
435870,에스케이증권제8호스팩,KRX_KOSDAQ,2022-10-06,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
054630,에이디칩스,KRX_KOSDAQ,2001-11-13,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
227100,에이치앤비디자인,KRX_KOSDAQ,2018-11-15,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
353070,에이치엠씨제4호스팩,KRX_KOSDAQ,2020-07-29,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
353060,에이치엠씨제5호스팩,KRX_KOSDAQ,2020-12-16,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
230980,에이트원,KRX_KOSDAQ,2016-03-02,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
089530,에이티세미콘,KRX_KOSDAQ,2011-11-11,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
