market,source_short_code,source_standard_code,source_name,source_security_type,matched_instrument_id,match_method,result,reason_code
KRX_KOSPI,004540,004540,깨끗한나라,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,030190,030190,NICE평가정보,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001260,001260,남광토건,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,008355,008355,남선알미우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,008350,008350,남선알미늄,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,004270,004270,남성,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003925,003925,남양유업우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003920,003920,남양유업,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,025860,025860,남해화학,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,005725,005725,넥센우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,005720,005720,넥센,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002355,002355,넥센타이어1우B,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002350,002350,넥센타이어,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,092790,092790,넥스틸,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,251270,251270,넷마블,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,090355,090355,노루페인트우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,090350,090350,노루페인트,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000325,000325,노루홀딩스우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000320,000320,노루홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,006280,006280,녹십자,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
